school,specialization
cong ty cuoc song quoc te,['tu van vien']
cong ty digital work,['animation va vfx']
coursera university of london london business school,['managing the company of the future']
coventry university,"['business administratrion', 'marketing management']"
cpa australia,"['finance, accouting, management']"
ctim,"['ngoai ngu (tieng anh)', 'chuyen nganh']"
cty co phan giao duc cong nghe viet,['bao mau mam non']
cty cp xd tm hung vi,['lai xe']
cty tnhh ngk coca cola viet nam,['lanh dao tuyen dau']
cty tnhh ngoai ngu nam viet tinh nam dinh,['bang c tieng anh']
cty tnhh tm dv quoc te chien thang quan 9,['nhan vien dieu dong giay to xnk']
cu chi,['dien cong nghiep']
cuc quan ly chat luong nong lam thuy san vung 6 nafiqad 6,['quan ly chat luong sp theo haccp']
cung cap mua ban nghe tuoi nghe giong ham luong curcumin cao,['chuyen nganh']
da nang university of economics,"['business administration', 'accounting']"
da nang university of technology,"['ky thuat xay dung', 'chuyen nganh']"
da nghi,['dau bep']
da nghi hoc,['da nghi hoc']
da nghi hoc hoi cap 2,['khong co kinh nghiem']
daegu cyber university of south korea,['chuyen nganh']
dai hoc am nhac dien anh,['singer']
dai hoc bach khoa hcm,"['ky thuat he thong cong nghiep', 'quan ly cong nghiep', 'xay dung dan dung va cong nghiep', 'co dien tu', 'quan ly cong nghiep', 'ktmt', 'ktmt', 'cong nghe hoa', 'cong nghe sinh hoc', 'dien tu vien thong', 'quan ly cong nghiep', 'dien tu truyen thong', 'xay dung', 'ky thuat hoa vo co', 'ky thuat dia chat dau khi', 'hoa vien kien thuc', 'cong nghe sinh hoc', 'dien tu vien thong', 'ky thuat hoa hoc', 'co dien tu', 'cong nghe hoa hoc', 'khoa hoc moi truong', 'quan ly cong nghiep', 'cong nghe vat lieu - bo mon: silicate', 'ky thuat xay dung', 'ky thuat vat lieu', 'chuyen nganh', 'chuyen nganh', 'chuyen nganh', 'thiet ke do hoa - multummedia', 'co - dien tu', 'ky thuat y sinh', 'chuyen nganh', 'chuyen nganh', 'cong nghe sinh hoc', 'chuyen nganh', 'chuyen nganh']"
dai hoc bach khoa he trung hoc,['vien thong & cong nghe thong tin']
dai hoc bach khoa ispjae la habana cuba,['kien truc']
dai hoc bach khoa tomsk lien bang nga,['van chuyen dau va khi']
dai hoc badch khoa,['dien- dien tu']
dai hoc bon ba,"['lao dong tu do', 'chuyen nganh', 'chuyen nganh', 'chuyen nganh', 'chuyen nganh', 'tam ly hoc', 'chuyen nganh', 'chuyen nganh', 'chuyen nganh', 'chuyen nganh', 'chuyen nganh']"
dai hoc bon ba bon bien la nha,['chuyen nganh']
dai hoc bon ba khoa: an khong noi co chem gio do cay,['chuyen nganh']
dai hoc bordeaux,['quan ly tai chinh']
dai hoc br vt,['quan tri logistics va chuoi cung ung']
dai hoc buon ba kiem tien botui,"['dai hoc chem gio xuyen quoc gia thung quoc te', 'chuyen nganh']"
dai hoc burapha thai lan,['thac si dao tao phat trien nhan luc.']
dai hoc buu dien chinh vien thong,['cong nghe thong tin']
dai hoc cambridge anh quoc,['tam than hoc']
dai hoc can tho can tho university,"['chuyen nganh', 'chuyen nganh', 'chuyen nganh', 'chuyen nganh', 'ngon ngu han kinh te']"
dai hoc chem gio xuyen quoc gia,"['chuyen nganh', 'chuyen nganh']"
dai hoc chem gjo xuyen quoc gia,['chuyen nganh']
dai hoc chu to,['chuyen nganh']
dai hoc cn,['software engineering']
dai hoc cntt hcm,['ky thuat vien may tinh']
dai hoc cong nghe hutech,"['marketing', 'tai chinh- tin dung', 'quan tri kinh doanh- tai chinh ngan hang', 'ky thuat dien dien tu', 'marketing', 'thiet ke noi that', 'cong nghe thong tin']"
dai hoc cong nghe thuc pham,"['quan tri kinh doanh', 'quan tri kinh doanh']"
dai hoc cong nghiep dai hoc kinh te,"['ke toan, tai chinh doanh nghiep']"
dai hoc cong ty,['chuyen nganh']
dai hoc conh nghiep thuc pham,['ke toan']
dai hoc cuoc doi,['chuyen nganh']
dai hoc dan lap hong ban,['quan tri du lich nha hang khach san']
dai hoc dan lap phuong dong,"['quan tri kinh doanh', 'quan tri kinh doanh', 'khoa kien truc cong trinh', 'chuyen nganh']"
dai hoc dan toc quang tay,['kinh te mau dich']
dai hoc dau khi trung quoc,['kinh te va thuong mai quoc te']
dai hoc dua xe,['chuyen nganh']
dai hoc gloucestershire,['quan tri kinh doanh']
dai hoc ha longk co,['su pham giao duc']
dai hoc ha noi trung tam ngoai ngu abc,['tieng anh ielts- toeic']
dai hoc hang hai,"['khoa kinh te, ke toan', 'chuyen nganh kinh te van tai bien ( economics of sea transport )', 'khai thac may tau bien', 'quan tri kinh doanh']"
dai hoc hang khong,['chuyen nganh']
dai hoc hoang gia anh quoc,['he thong thong tin']
dai hoc hoang gia mahasarakham thai lan,['y te cong dong']
dai hoc hoc vien hang khong,['viet nam hoc-huong dan vien du lich']
dai hoc hong ban,['xet nghiem']
dai hoc huflit,"['bien phien dich tieng anh', 'quan he cong chung', 'trung quoc', 'pr', 'nhat ban hoc', 'public relations']"
dai hoc hutech,"['tin hoc', 'ngoai ngu', 'ngon ngu anh, ngon ngu nhat', 'du lich( bao luu)', 'ke toan kiem toan', 'ke toan tai chinh', 'marketing', 'quan tri kinh doanh', 'dien tu vien thong']"
dai hoc huu nghi,['tai chinh ngan hang']
dai hoc insaniah,['quan tri kinh doanh']
dai hoc khoa hoc cong nghe lille 1,['co khi']
dai hoc khoa hoc tu nhien dai hoc gqhn,['hoa phan tich']
dai hoc khoa hoc xa hoi hcm,['bao chi va truyen thong']
dai hoc khoa hoc xa hoi nv,"['khoa nhat ban hoc', 'international relations', 'ngon ngu anh', 'nhan hoc', 'lich su', 'du lich']"
dai hoc khongbach khoa hcm,['he thong dien']
dai hoc khtn,['photoshop']
dai hoc khtn hcm,"['cong nghe phan mem', 'vat ly hat nhan', 'su pham toan', 'chuyen nganh']"
dai hoc ki thuat cong nghe hcm,['cong nghe thong tin']
dai hoc ki thuat cong nghiep nam dinh,['ke toan doanh nghiep']
dai hoc kien truc xay dung voronezh,['xay dung dan dung va cong nghiep']
dai hoc kinh te 279 nguyen tri phuong quan 10,['quan tri kinh doanh']
dai hoc kinh te hcmtruong,['quan tri kinh doanh']
dai hoc kinh te ki thuat nam dinh,"['ke toan', 'ke toan']"
dai hoc kinh te lua,['chuyen nganh kinh te doi ngoai']
dai hoc kinh te nhat ban,['kinh doanh']
dai hoc kinh te plekhanov,['kinh te the gioi va quan he quoc te']
dai hoc kinh te vnu,['kinh te quoc te']
dai hoc kt,['quan tri nhan su']
dai hoc kt hcm,['ke toan']
dai hoc ky thuat cong nghe hutech,"['cong nghe thong tin', 'cong nghe ky thuat co khi']"
dai hoc ky thuat kinh te binh duong,['ke toan']
dai hoc ky thuat y te trung uong 2,['vat ly tri lieu/phuc hoi chuc nang']
dai hoc la trobe,['quan tri kinh doanh']
dai hoc latrobe,['quan tri kinh doanh']
dai hoc mo hcm hochiminh open university,['chuyen nganh']
dai hoc mo xanh pe tec bua lien bang nga,['van chuyen dau va khi']
dai hoc nam toulon var,['tai chinh ngan hang bao hiem']
dai hoc ngoai ngu ha noi,['ngon ngu tieng anh']
dai hoc ngoai ngu hai phong,['tieng trung']
dai hoc ngoai ngu ngoai thuong quang dong trung quoc,['tieng trung thuong mai']
dai hoc ngoai thuong lien ket dao tao quoc te,['thuong mai va kinh te quoc te']
dai hoc noi vu,"['quan tri nhan luc', 'quan tri van phong', 'thu vien', 'luu tru']"
dai hoc noi vu ha noi hanoi university of home affairs,['chuyen nganh']
dai hoc nong nghiep,['ke toan doanh nghiep']
dai hoc nong nghiep van nam trung quoc,['thuong mai dien tu']
dai hoc paris sud chau au,['chuyen nganh']
dai hoc phuong dong,"['quan tri kinh doanh', 'tai chinh - ngan hang', 'ke toan', 'ke toan', 'kien truc', 'quan tri mang', 'kinh te xay dung', 'quan tri kinh doanh', 'quan tri doanh nghiepn', 'quan tri kinh doanh', 'bio technology', 'chuyen nganh ngoai ngu', 'quan tri kinh doanh', 'ngon ngu anh', 'ke toan', 'ke toan', 'quan tri kinh doanh', 'ke toan', 'ke toan', 'xay dung dan dung & cong nghiep']"
dai hoc phuong dong phuong dong university,['administrative body']
dai hoc quoc gia belarus,['quan tri kinh doanh']
dai hoc ren luyen ki nang chem gio quoc te xuyen luc dia,['chuyen nganh']
dai hoc sai gon sai gon university,['tai chinh ngan hang']
dai hoc sg,['ke toan']
dai hoc shiseikan,['quan tri kinh doanh']
dai hoc shute dai loan,['quan ly rui ro tai chinh']
dai hoc sp,['lich su']
dai hoc spkt hcm,"['dien cong nghiep', 'dien cong nghiep', 'chuyen nganh co dien tu']"
dai hoc spkt hung yen,['cong nghe ky thuat hoa hoc']
dai hoc spkt nam dinh,['dien tu dong']
dai hoc spnttw,['thiet ke']
dai hoc su pham dong nai,['su pham mam non']
dai hoc su pham quoc gia,['giao duc mam non']
dai hoc su pham tay bac trung quoc,['kinh te doi ngoai']
dai hoc tai chinh kinh te trung uong bac kinh,['kinh te thuong mai quoc te']
dai hoc tai gia,['chuyen nganh']
dai hoc thien tan trung quoc,"['kien truc', 'kien truc su']"
dai hoc thu do,['tieng trung quoc']
dai hoc tin hoc ngoai ngu huflit,['tieng trung']
dai hoc tnmt hcm,['quy hoach dat dai']
