,school_name,specialization,normalized_school,predicted_school,normalized_major,predicted_major
6218,Đại Học Nguyễn Tất Thành,Quản Trị Kinh Doanh,đại học nguyễn tất thành,"(1.0, 'đại học nguyễn tất thành')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
6219,Đại Học Sư phạm Kỹ thuật Hưng Yên,ngôn ngữ anh,đại học sư phạm kỹ thuật hưng yên,"(1.0, 'đại học sư phạm kỹ thuật hưng yên')",ngôn ngữ anh,"(1.0, 'ngôn ngữ anh')"
6220,Đại học Hà Nội,Quản trị Kinh Doanh,đại học hà nội,"(1.0, 'đại học hà nội')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
6221,Đại học Hoa Sen,Kế toán,đại học hoa sen,"(1.0, 'đại học hoa sen')",kế toán,"(1.0, 'kế toán')"
6222,University Auckland,Asian Studies,university auckland,"(0.5238095238095238, 'đại học văn lang')",asian studies,"(1.0, 'châu á học')"
6223,IELTS,Anh văn,ielts,"(0.07142857142857142, 'đại học mỹ thuật việt nam')",anh văn,"(0.42857142857142855, 'văn học')"
6224,nguyễn trãi,trung học,nguyễn trãi,"(0.3333333333333333, 'đại học nguyễn trãi')",trung ho c,"(0.4, 'trung tâm')"
6225,Trường ĐH Kinh Doanh và Công Nghệ Hà Nội,Tài Chính Doanh nghiệp,đại học kinh doanh và công nghệ hà nội,"(1.0, 'đại học kinh doanh và công nghệ hà nội')",tài chính doanh nghiệp,"(1.0, 'tài chính doanh nghiệp')"
6226,đại học ngân hàng,khối ngành kinh tế kinh doanh,đại học ngân hàng,"(0.7058823529411765, 'đại học ngân hàng tp hcm')",khối ngành kinh tế kinh doanh,"(0.375, 'kinh doanh thương mại')"
6227,đại học mỏ địa chất,kỹ thuật dầu khí,đại học mỏ địa chất,"(1.0, 'đại học mỏ địa chất')",kỹ thuật dầu khí,"(1.0, 'kỹ thuật dầu khí')"
6228,trung học cơ sở tân an hội,bán hàn,trung học cơ sở tân an hội,"(0.5789473684210527, 'trung học cơ sở')",bán hàn,"(0.2857142857142857, 'gò hàn')"
6229,Trường Đại Học Lao Động Xã Hội CS2,Kế toán loại khá+ Tin học văn phòng B loại giỏi,đại học lao động xã hội cs2,"(0.85, 'đại học lao động xã hội')",kế toán loại khá tin học văn phòng b loại giỏi,"(0.2222222222222222, 'sáng tác văn học')"
6230,Cao Đẳng Đại Việt Sài Gòn,Y Dược,cao đẳng đại việt sài gòn,"(1.0, 'cao đẳng đại việt sài gòn')",y dược,"(0.42857142857142855, 'dược học')"
6231,Đại học giao thông vận tải cơ sở 2,xây dựng cầu đường,đại học giao thông vận tải cơ sở 2,"(1.0, 'đại học giao thông vận tải cơ sở 2')",xây dựng cầu đường,"(1.0, 'xây dựng cầu đường')"
6232,đại học Công Nghệ Sài Gòn,Công Nghệ thực phẩm,đại học công nghệ sài gòn,"(1.0, 'đại học công nghệ sài gòn')",công nghệ thư c phẩm,"(0.75, 'công nghệ thực phẩm')"
6233,Đại học Hà Nội,Ngôn ngữ Anh,đại học hà nội,"(1.0, 'đại học hà nội')",ngôn ngữ anh,"(1.0, 'ngôn ngữ anh')"
6234,Đại học công nghiệp thành phố hồ chí minh,Công nghệ Kĩ thuật Hoá Học,đại học công nghiệp thành phố hồ chí minh,"(0.2777777777777778, 'đại học công nghiệp vinh')",công nghê ki thuâ t hoa ho c,"(0.3076923076923077, 'công nghệ sau thu hoạch')"
6235,học viện báo chí và tuyên truyền,báo mạng điện tử,học viện báo chí và tuyên truyền,"(1.0, 'học viện báo chí và tuyên truyền')",báo mạng điện tử,"(0.3684210526315789, 'thương mại điện tử')"
6236,Đại học Giao thông vận tải Hà Nội,Kinh tế vận tải du lịch,đại học giao thông vận tải hà nội,"(0.8333333333333334, 'đại học giao thông vận tải')",kinh tế vận tải du lịch,"(0.6470588235294118, 'kinh tế vận tải')"
6237,Trung cấp Đông Dương,Sư Phạm Mầm Non,trung cấp đông dương,"(0.5, 'trung cấp')",sư phạm mầm non,"(1.0, 'sư phạm mầm non')"
6238,Hướng Nghiệp Á Âu ,Bếp Trưởng,hướng nghiệp á âu,"(0.28, 'cao đẳng công nghiệp hưng yên')",bếp trưởng,"(0.15384615384615385, 'trung tâm')"
6239,Đại Học Công Nghệ Thành Phố Hồ Chí Minh,Công Nghệ Sinh Học,đại học công nghệ tp hcm,"(1.0, 'đại học công nghệ tp hcm')",công nghệ sinh học,"(1.0, 'công nghệ sinh học')"
6240,đại học Huflit,nhật bản học,đại học huflit,"(1.0, 'đại học ngoại ngữ tin học tp hcm')",nhật bản học,"(1.0, 'nhật bản học')"
6241,viện Đào Tạo UCI,QA-QC,viện đào tạo uci,"(0.4166666666666667, 'đào tạo')",qa qc,"(0.08333333333333333, 'nuôi trồng thủy sản')"
6242,trung cấp kỹ thuật nghiệp vụ sông hồng,điện công nghiệp,trung cấp kỹ thuật nghiệp vụ sông hồng,"(0.34285714285714286, 'cao đẳng kỹ thuật công nghiệp')",điện công nghiệp,"(1.0, 'điện công nghiệp')"
6243,Đại học An giang,Quản trị kinh doanh,đại học an giang,"(1.0, 'đại học an giang đại học quốc gia hcm')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
6244,Đại học Hà Nội,Ngôn ngữ Trung Quốc,đại học hà nội,"(1.0, 'đại học hà nội')",ngôn ngữ trung quốc,"(1.0, 'ngôn ngữ trung quốc')"
6245,Đại học Hà Nội,Ngôn ngữ Anh,đại học hà nội,"(1.0, 'đại học hà nội')",ngôn ngữ anh,"(1.0, 'ngôn ngữ anh')"
6246,đại học công nghiệp tphcm,tài chính ngân hàng,đại học công nghiệp tp hcm,"(1.0, 'đại học công nghiệp tp hcm')",tài chính ngân hàng,"(1.0, 'tài chính ngân hàng')"
6247,Trung cấp Đại Việt,Điều dưỡng đa khoa,trung cấp đại việt,"(0.5, 'trung cấp')",điều dưỡng đa khoa,"(0.5714285714285714, 'điều dưỡng')"
6248,Đại học Văn Hiến,Quản Trị Khách Sạn,đại học văn hiến,"(1.0, 'đại học văn hiến')",quản trị khách sạn,"(1.0, 'quản trị khách sạn')"
6249,đại học lao động xã hội,quản trị nhân lực,đại học lao động xã hội,"(1.0, 'đại học lao động xã hội')",quản trị nhân lực,"(1.0, 'quản trị nhân lực')"
6250,Học viện Nông Nghiệp Việt Nam,Công nghệ thực phẩm,học viện nông nghiệp việt nam,"(1.0, 'học viện nông nghiệp việt nam')",công nghệ thực phẩm,"(1.0, 'công nghệ thực phẩm')"
6251,cao thắng,cơ khí chế tạo,cao thắng,"(0.4117647058823529, 'cao đẳng kỹ thuật cao thắng')",cơ khí chế tạo,"(1.0, 'cơ khí chế tạo')"
6252,FPT,Marketing và bán hàng,fpt,"(1.0, 'đại học fpt')",marketing và bán hàng,"(0.5, 'marketing')"
6253,UEF- Kinh Tế Tài Chính Thành Phố Hồ Chí Minh,Quản Trị Kinh Doanh ,uef- kinh tế tài chính tp hcm,"(0.64, 'đại học kinh tế tài chính tp hcm')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
6254,trường trung học phổ thông quảng oai,học sinh,thpt quảng oai,"(1.0, 'trung học phổ thông')",học sinh,"(1.0, 'học sinh')"
6255,đại học sài gon,cô nuôi dạy trẻ mầm non,đại học sài gon,"(0.6923076923076923, 'đại học sài gòn')",cô nuôi dạy trẻ mầm non,"(0.21739130434782608, 'sư phạm mầm non')"
6256,cao đẳng nghề đồng nai,điện lạnh,cao đẳng nghề đồng nai,"(0.6666666666666666, 'cao đẳng nghề đồng tháp')",điện lạnh,"(0.26666666666666666, 'quản lý bệnh viện')"
6257,Đại Học Bách Khoa,Bảo Dưỡng Công Nghiệp,đại học bách khoa,"(0.7222222222222222, 'đại học bách khoa tp hcm')",bảo dưỡng công nghiệp,"(1.0, 'bảo dưỡng công nghiệp')"
6258,cao đẳng nông lâm đông nam bộ,điện công nghiệp,cao đẳng nông lâm đông nam bộ,"(0.6666666666666666, 'cao đẳng nông lâm đông bắc')",điện công nghiệp,"(1.0, 'điện công nghiệp')"
6259,Đại Học Phương Đông,Quản trị kinh doanh,đại học phương đông,"(1.0, 'đại học phương đông')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
6260,Cao Dang Du Lich Sai Gon,Quan Tri Khach San Nha Hang,cao dang du lich sai gon,"(0.27586206896551724, 'cao đẳng du lịch nha trang')",quan tri khach san nha hang,"(0.2727272727272727, 'trinh sát an ninh')"
6261,dhsp nghe thuat trung uong,su pham my thuat,đại học sư phạm nghe thuat trung uong,"(0.5882352941176471, 'đại học sư phạm nghệ thuật trung ương')",su pham my thuat,"(0.3333333333333333, 'chỉ huy tham mưu pháo binh')"
6262,Trường Trung Cấp Nghề Hùng Vương,công nghệ thông tin,trung cấp nghề hùng vương,"(0.4117647058823529, 'trung cấp')",công nghệ thông tin,"(1.0, 'công nghệ thông tin')"
6263,học viện tài chính,tài chính doanh nghiệp,học viện tài chính,"(1.0, 'học viện tài chính')",tài chính doanh nghiệp,"(1.0, 'tài chính doanh nghiệp')"
6264,cao đẳng dược Hồng Đức,Dược,cao đẳng dược hồng đức,"(0.55, 'cao đẳng dược hà nội')",dược,"(0.5, 'dược học')"
6265,trường cao đẳng nghề Đà Lạt,Quản trị Nhà  hàng Khách sạn,cao đẳng nghề đà lạt,"(1.0, 'cao đẳng nghề đà lạt')",quản trị nhà hàng khách sạn,"(0.6190476190476191, 'quản trị khách sạn')"
6266,taiwan,Thai Tradition massage,taiwan,"(0.125, 'cao đẳng việt anh')",thai tradition massage,"(0.2962962962962963, 'y học cổ truyền')"
6267,cao đẳng công nghệ thông tin tphcm,tài chính ngân hàng,cao đẳng công nghệ thông tin tp hcm,"(1.0, 'cao đẳng công nghệ thông tin tp hcm')",tài chính ngân hàng,"(1.0, 'tài chính ngân hàng')"
6268,Cao đẳng Thương Mại và Du Lịch Hà Nội,Kế Toán,cao đẳng thương mại và du lịch hà nội,"(1.0, 'cao đẳng thương mại và du lịch hà nội')",kế toán,"(1.0, 'kế toán')"
6269,ĐH Bình Dương,kế toán,đại học bình dương,"(1.0, 'đại học bình dương')",kế toán,"(1.0, 'kế toán')"
6270,Trung học phổ thông Lê Thị Hồng Gấm,Trung học,thpt lê thị hồng gấm,"(1.0, 'trung học phổ thông')",trung học,"(0.5, 'trung quốc học')"
6271,nguyen trai,co khí,nguyen trai,"(0.47368421052631576, 'đại học nguyễn trãi')",co khí,"(0.25, 'nấu ăn')"
6272,Trung cấp Kinh tế - Kỹ thuật Cà Mau,Kỹ thuật lắp ráp và sửa chữa máy tính,trung cấp kinh tế - kỹ thuật cà mau,"(0.45714285714285713, 'cao đẳng kinh tế kỹ thuật trung ương')",kỹ thuật lắp ráp và sửa chữa máy tính,"(0.41379310344827586, 'kỹ thuật máy tính')"
6273,đại học Công Nghiệp Tp Hồ Chí Mịnh,Ngôn Ngữ Anh,đại học công nghiệp tp hồ chí mịnh,"(0.6296296296296297, 'đại học công nghiệp tp hcm')",ngôn ngữ anh,"(1.0, 'ngôn ngữ anh')"
6274,THPT Võ Văn Tần,phổ thông,thpt võ văn tần,"(1.0, 'trung học phổ thông')",phổ thông,"(1.0, 'phổ thông')"
6275,Victoria University,Finance & Banking,victoria university,"(0.48, 'đại học bà rịa vũng tàu')",finance banking,"(1.0, 'tài chính ngân hàng')"
6276,Trường Đại Học Kinh tế Huế,Kế toán,đại học kinh tế huế,"(0.8125, 'đại học kinh tế đại học huế')",kế toán,"(1.0, 'kế toán')"
6277,Trường cd công nghiep tuy hoa,công nghệ kỹ thuật môi trường,cd công nghiep tuy hoa,"(0.25806451612903225, 'cao đẳng công nghiệp thái nguyên')",công nghệ kỹ thuật môi trường,"(1.0, 'công nghệ kỹ thuật môi trường')"
6278,ĐH Kinh Tế Quốc Dân,Tài chính Ngân hàng,đại học kinh tế quốc dân,"(1.0, 'đại học kinh tế quốc dân')",tài chính ngân hàng,"(1.0, 'tài chính ngân hàng')"
6279,Trừơng Đại học Quốc tế Hồng Bàng,Quản trị kinh doanh du lịch,trừơng đại học quốc tế hồng bàng,"(0.782608695652174, 'đại học quốc tế hồng bàng')",quản trị kinh doanh du lịch,"(0.7368421052631579, 'quản trị kinh doanh')"
6280,Tôn Đức Thắng,Quan hệ lao động,tôn đức thắng,"(0.6666666666666666, 'đại học tôn đức thắng')",quan hệ lao động,"(1.0, 'quan hệ lao động')"
6281,nông nghiệp,công nghệ thực phẩm,nông nghiệp,"(0.4444444444444444, 'cao đẳng nông nghiệp nam bộ')",công nghệ thực phẩm,"(1.0, 'công nghệ thực phẩm')"
6282,đại học kinh tế,kế toán,đại học kinh tế,"(0.7333333333333333, 'đại học kinh tế đại học huế')",kế toán,"(1.0, 'kế toán')"
6283,trường đại học ngoại ngữ_ ĐHQGHN,tiếng Nga phiên dịch,đại học ngoại ngữ_ đại học quốc gia hà nội,"(0.7083333333333334, 'đại học quốc gia hà nội')",tiếng nga phiên dịch,"(0.7222222222222222, 'phiên dịch tiếng anh')"
6284,THPT DTNT tỉnh Hòa Bình,Văn học,thpt dtnt tỉnh hòa bình,"(1.0, 'trung học phổ thông')",văn học,"(1.0, 'văn học')"
6285,Đại học Nông Lâm TPHCM,Phát triển nông thôn,đại học nông lâm tphcm,"(1.0, 'đại học nông lâm tp hcm')",phát triển nông thôn,"(1.0, 'phát triển nông thôn')"
6286,Đại học Công Nghiệp Hà Nội,kế toán,đại học công nghiệp hà nội,"(1.0, 'đại học công nghiệp hà nội')",kế toán,"(1.0, 'kế toán')"
6287,Trường Cao Đẳng Kinh Tế Kỹ Thuật Cần Thơ,Quản Lý Đất Đai,cao đẳng kinh tế kỹ thuật cần thơ,"(1.0, 'cao đẳng kinh tế kỹ thuật cần thơ')",quản lý đất đai,"(1.0, 'quản lý đất đai')"
6288,Học Viện Quản Lý Giáo Dục,Tâm Lý Học Giáo Dục,học viện quản lý giáo dục,"(1.0, 'học viện quản lý giáo dục')",tâm lý học giáo dục,"(1.0, 'tâm lý học giáo dục')"
6289,cdsp tuyên quang,sư phạm,cao đẳng sư phạm tuyên quang,"(0.6153846153846154, 'cao đẳng sư phạm thái nguyên')",sư phạm,"(0.5, 'sư phạm vật lý')"
6290,đại học kinh tế kĩ thuật công nghiệp Hà Nội,Kế Toán,đại học kinh tế kĩ thuật công nghiệp hà nội,"(0.7352941176470589, 'đại học kinh tế kỹ thuật công nghiệp')",kế toán,"(1.0, 'kế toán')"
6291,bách khoa đà nẵng,kinh tế xây dựng,bách khoa đà nẵng,"(0.6842105263157895, 'cao đẳng bách khoa đà nẵng')",kinh tế xây dựng,"(1.0, 'kinh tế xây dựng')"
6292,Trường THPT Phan Bội Châu,Tốt nghiêp,thpt phan bội châu,"(1.0, 'trung học phổ thông')",tốt nghiêp,"(0.23076923076923078, 'nông nghiệp')"
6293,trường trung cấp quân y2,y sĩ đa khoa,trường trung cấp quân y2,"(0.2631578947368421, 'trung tâm')",y si đa khoa,"(0.6, 'nội đa khoa')"
6294,Đại Học Kỹ Thuật Công Nghệ Cần Thơ,Điện - Điện tử,đại học kỹ thuật công nghệ cần thơ,"(1.0, 'đại học kỹ thuật công nghệ cần thơ')",công nghệ kỹ thuật điện điện tử,"(1.0, 'công nghệ kỹ thuật điện điện tử')"
6295,Trường cao đẳng sư phạm Đăk Lăk,Sư phạm Ngữ Văn,cao đẳng sư phạm đăk lăk,"(0.7, 'cao đẳng sư phạm đắk lắk')",sư phạm ngữ văn,"(1.0, 'sư phạm ngữ văn')"
6296,đại học ngoại ngữ ĐÀ NẴNG,tiếng anh chuyên ngành,đại học ngoại ngữ đà nẵng,"(0.9411764705882353, 'đại học ngoại ngữ đại học đà nẵng')",tiếng anh,"(0.5384615384615384, 'sư phạm tiếng anh')"
6297,cao đẳng sư phạm hà nội,sư phạm tiểu học,cao đẳng sư phạm hà nội,"(0.7894736842105263, 'cao đẳng sư phạm hà nam')",sư phạm tiểu học,"(0.6428571428571429, 'sư phạm tin học')"
6298,Cao đẳng kinh tế công nghệ TPHCM,Kế Toán,cao đẳng kinh tế công nghệ tphcm,"(1.0, 'cao đẳng kinh tế công nghệ tphcm')",kế toán,"(1.0, 'kế toán')"
6299,Đại học Tài chính Quản Trị Kinh Doanh,Tài chính - Ngân hàng,đại học tài chính quản trị kinh doanh,"(1.0, 'đại học tài chính quản trị kinh doanh')",tài chính ngân hàng,"(1.0, 'tài chính ngân hàng')"
6300,Trường Đại học Sài Gòn,Quản trị kinh doanh,đại học sài gòn,"(1.0, 'đại học sài gòn')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
6301,trường trung cấp au viet,dược si trung hoc,trung cấp au viet,"(0.5384615384615384, 'trung cấp')",dược si trung hoc,"(0.25, 'trung tâm')"
6302,telơman,bảo mẩu,telơman,"(0.16666666666666666, 'đại học manchester')",bảo mẩu,"(0.2222222222222222, 'bảo hiểm')"
6303,Đại Học Công Nghiệp TPHCM,Ngôn Ngữ Anh,đại học công nghiệp tphcm,"(1.0, 'đại học công nghiệp tp hcm')",ngôn ngữ anh,"(1.0, 'ngôn ngữ anh')"
6304,đại học nha trang,cơ khí chế tạo máy,đại học nha trang,"(1.0, 'đại học nha trang')",cơ khí chế tạo máy,"(0.7692307692307693, 'cơ khí chế tạo')"
6305,Đại học kinh tế quốc dân,Marketing,đại học kinh tế quốc dân,"(1.0, 'đại học kinh tế quốc dân')",marketing,"(1.0, 'marketing')"
6306,Cao đẳng thực hành fpt polytechnic,ứng dụng phần mềm,cao đẳng thực hành fpt polytechnic,"(1.0, 'đại học fpt')",ứng dụng phần mềm,"(0.3888888888888889, 'công nghệ phần mềm')"
6307,Trường đại học Bách Khoa tphcm,Công nghệ hoá học,đại học bách khoa tp hcm,"(1.0, 'đại học bách khoa tp hcm')",công nghệ hóa học,"(0.5789473684210527, 'công nghệ kỹ thuật hóa học')"
6308,sakan,tiếng hàn giao tiếp,sakan,"(0.2727272727272727, 'đại học osaka')",tiếng hàn giao tiếp,"(0.3181818181818182, 'sư phạm tiếng hàn quốc')"
6309,Đại học Tiền Giang,Quản trị kinh doanh,đại học tiền giang,"(1.0, 'đại học tiền giang')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
6310,cao đẳng tài chính quản trị kinh doanh,tài chính ngân hàng,cao đẳng tài chính quản trị kinh doanh,"(0.6176470588235294, 'đại học tài chính quản trị kinh doanh')",tài chính ngân hàng,"(1.0, 'tài chính ngân hàng')"
6311,Trung cấp Cửu Long,xét nghiệm,trung cấp cửu long,"(0.5384615384615384, 'trung cấp')",xét nghiệm,"(0.42105263157894735, 'kỹ thuật xét nghiệm y học')"
6312,Đại Học Quốc Tế - Đại Học Quốc Gia TPHCM,Quản trị kinh doanh,đại học quốc tế - đại học quốc gia tphcm,"(0.85, 'đại học quốc gia tp hcm')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
6313,Đại học xây dựng,xây dưng dân dụng,đại học xây dựng,"(0.7058823529411765, 'đại học xây dựng hà nội')",xây dưng dân dụng,"(0.4166666666666667, 'xây dựng dân dụng và công nghiệp')"
6314,cao đẳng văn hoá nghệ thuật và du lịch sài gòn,việt nam học,cao đẳng văn hoá nghệ thuật và du lịch sài gòn,"(0.8378378378378378, 'cao đẳng văn hóa nghệ thuật và du lịch sài gòn')",việt nam học,"(1.0, 'việt nam học')"
6315,đại học kinh doanh và công nghệ hà nội,tài chính ngân hàng,đại học kinh doanh và công nghệ hà nội,"(1.0, 'đại học kinh doanh và công nghệ hà nội')",tài chính ngân hàng,"(1.0, 'tài chính ngân hàng')"
6316,mỏ địa chất,bản đồ gis,mỏ địa chất,"(0.5714285714285714, 'đại học mỏ địa chất')",bản đồ gis,"(0.4, 'bản đồ học')"
6317,Trường ĐH Công nghệ Sài Gòn,Quản trị kinh doanh,đại học công nghệ sài gòn,"(1.0, 'đại học công nghệ sài gòn')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
6318,đại học Giao Thông Vận Tải Hà Nội,xây dựng công trình giao thông tiên tiến - liên kết với đại học Leeds vương quốc Anh,đại học giao thông vận tải hà nội,"(0.8333333333333334, 'đại học giao thông vận tải')",xây dựng công trình giao thông tiên tiến liên kết với đại học leeds vương quốc anh,"(0.3387096774193548, 'kỹ thuật xây dựng công trình giao thông')"
6319,truong thpt thạnh đông,lao dong pho thong,truong thpt thạnh đông,"(1.0, 'trung học phổ thông')",lao dong pho thong,"(0.2, 'phổ thông')"
6320,trung cấp đông dương,sư pham tiểu học,trung cấp đông dương,"(0.5, 'trung cấp')",sư pham tiểu học,"(0.4375, 'sư phạm tin học')"
6321,Đại học HUFLIT,Public Relations,đại học huflit,"(1.0, 'đại học ngoại ngữ tin học tp hcm')",public relations,"(1.0, 'quan hệ công chúng')"
6322,Cao Đẳng Viễn Đông,Quản trị Tổng Hợp,cao đẳng viễn đông,"(1.0, 'cao đẳng viễn đông')",quản trị tổng hợp,"(0.45, 'quản trị thương hiệu')"
6323,trường trung học lý thần kiệt,học,trung học lý thần kiệt,"(0.34782608695652173, 'trung học phổ thông')",học,"(0.5, 'cơ học')"
6324,kinh tế quốc dân,kế toán,kinh tế quốc dân,"(0.6666666666666666, 'đại học kinh tế quốc dân')",kế toán,"(1.0, 'kế toán')"
6325,Đại Học Văn Lang,Ngôn Ngữ Anh,đại học văn lang,"(1.0, 'đại học văn lang')",ngôn ngữ anh,"(1.0, 'ngôn ngữ anh')"
6326,đại học học công nghệ tp.hcm,quản trị kinh doanh,đại học học công nghệ tp.hcm,"(0.9444444444444444, 'đại học công nghệ tp hcm')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
6327,Trung cấp nghề cơ điện đông nam bộ,Công nghệ thông tin,trung cấp nghề cơ điện đông nam bộ,"(0.42857142857142855, 'cao đẳng cơ điện và nông nghiệp nam bộ')",công nghệ thông tin,"(1.0, 'công nghệ thông tin')"
6328,le hong phong,le hong phong,le hong phong,"(0.2, 'đại học hải phòng')",le hong phong,"(0.2, 'đông phương học')"
6329,Đh giao thông vận tải HCM,cơ khí oto,đại học giao thông vận tải hcm,"(0.9090909090909091, 'đại học giao thông vận tải')",cơ khí ô tô,"(1.0, 'cơ khí ô tô')"
6330,cao đẳng du lịch hà nội,lễ tân,cao đẳng du lịch hà nội,"(1.0, 'cao đẳng du lịch hà nội')",lễ tân,"(0.125, 'nhân học')"
6331,cao đẳng công nghệ Đà Nẵng,tin học ứng dụng,cao đẳng công nghệ đà nẵng,"(0.631578947368421, 'cao đẳng nghề đà nẵng')",tin học ứng dụng,"(0.7692307692307693, 'sinh học ứng dụng')"
6332,Đại học Luật Hà Nội,Ngành Luật,đại học luật hà nội,"(0.18181818181818182, 'đại học luân đôn')",nga nh luâ t,"(0.23529411764705882, 'sư phạm tiếng anh')"
6333,Trường THPT Chuyên Hà Tĩnh,Chuyên Văn,trường thpt chuyên hà tĩnh,"(1.0, 'trung học phổ thông')",chuyên văn,"(0.2857142857142857, 'thiên văn học')"
6334,trường ĐH Lạc Hồng,kế toán kiểm toán,đại học lạc hồng,"(1.0, 'đại học lạc hồng')",kế toán kiểm toán,"(0.7, 'kiểm toán')"
6335,Đại học Fpt,Tài chính Doanh Nghiệp,đại học fpt,"(1.0, 'đại học fpt')",tài chính doanh nghiệp,"(1.0, 'tài chính doanh nghiệp')"
6336,Học viện Báo chí và Tuyên truyền,Báo chí Đa phương tiện,học viện báo chí và tuyên truyền,"(1.0, 'học viện báo chí và tuyên truyền')",báo chí đa phương tiện,"(0.4782608695652174, 'công nghệ đa phương tiện')"
6337,Cao Đẳng Y Tế Thái Bình,y sỹ đa khoa,cao đẳng y tế thái bình,"(1.0, 'cao đẳng y tế thái bình')",y sỹ đa khoa,"(0.5555555555555556, 'y đa khoa')"
6338,Cao đẳng an ninh nhân dân 2,Quản lý trật tự,cao đẳng an ninh nhân dân 2,"(0.9444444444444444, 'cao đẳng an ninh nhân dân i')",quản lý trật tự,"(0.44, 'quản lý trật tự an toàn giao thông')"
6339,Đại học Hải Phòng,Kinh tế ngoại thương,đại học hải phòng,"(1.0, 'đại học hải phòng')",kinh tế ngoại thương,"(0.5, 'kinh tế đối ngoại')"
6340,đại học hoa sen,Quản lí môi trường,đại học hoa sen,"(1.0, 'đại học hoa sen')",quản lí môi trường,"(0.46153846153846156, 'quản lý tài nguyên và môi trường')"
6341,Đại học Lao động Xã hội,Quản trị nhân lực,đại học lao động xã hội,"(1.0, 'đại học lao động xã hội')",quản trị nhân lực,"(1.0, 'quản trị nhân lực')"
6342,Đại học Tài Chính - Marketing,Truyền Thông Marketing,đại học tài chính - marketing,"(1.0, 'đại học tài chính marketing')",truyền thông marketing,"(1.0, 'truyền thông marketing')"
6343,HCMC College of Economics,Business Administration,hcmc college of economics,"(0.4, 'cao đẳng kinh tế đối ngoại')",business administration,"(1.0, 'quản trị kinh doanh')"
6344,đại học điện lực,kế toán doanh nghiệp,đại học điện lực,"(1.0, 'đại học điện lực')",kế toán doanh nghiệp,"(1.0, 'kế toán doanh nghiệp')"
6345,Trường Đại Học Nông Lâm TpHCM,quản trị kinh doanh,đại học nông lâm tphcm,"(1.0, 'đại học nông lâm tp hcm')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
6346,Cao đẳng Nghề Du lịch Sài Gòn,Quản lý Nhà Hàng Khách sạn,cao đẳng nghề du lịch sài gòn,"(1.0, 'cao đẳng nghề du lịch sài gòn')",quản lý nhà hàng khách sạn,"(0.43478260869565216, 'quản trị khách sạn')"
6347,Đại học Công nghiệp Thực phẩm TpHCM,Công nghệ sinh học,đại học công nghiệp thực phẩm tphcm,"(0.4444444444444444, 'đại học công nghiệp thực phẩm tp hcm')",công nghê sinh ho c,"(0.5294117647058824, 'công nghệ sinh học')"
6348,trung câp nghe bqp18,lái xe bằng c,trung câp nghe bqp18,"(0.29411764705882354, 'trung cấp')",lái xe bằng c,"(0.4444444444444444, 'lái xe')"
6349,Cao Đẳng Việt Mỹ VATC,Biên Phiên dịch Tiếng Anh thương mại,cao đẳng việt mỹ vatc,"(0.75, 'cao đẳng việt mỹ')",biên phiên dịch tiếng anh thương mại,"(0.64, 'phiên dịch tiếng anh')"
6350,ĐẠI HỌC NGOẠI NGỮ ĐÀ NẴNG,NGÔN NGỮ ANH,đại học ngoại ngữ đà nẵng,"(0.9411764705882353, 'đại học ngoại ngữ đại học đà nẵng')",ngôn ngữ anh,"(1.0, 'ngôn ngữ anh')"
6351,Đại học Kinh Doanh & Công nghệ Hà Nội,Kinh doanh Thương mại Quốc tế,đại học kinh doanh & công nghệ hà nội,"(0.8571428571428571, 'đại học kinh doanh và công nghệ hà nội')",kinh doanh thương mại quốc tế,"(0.7272727272727273, 'kinh doanh thương mại')"
6352,cao đẳng xây dựng công trinh đô thị,xây dựng dân dụng và công nghiệp,cao đẳng xây dựng công trinh đô thị,"(0.8518518518518519, 'cao đẳng xây dựng công trình đô thị')",xây dựng dân dụng và công nghiệp,"(1.0, 'xây dựng dân dụng và công nghiệp')"
6353,thcs chau phong,khong,thcs chau phong,"(1.0, 'trung học cơ sở')",khong,"(0.25, 'y đa khoa')"
6354,trường dạy nghề thanh xuân,sưa chữa điện lạnh,dạy nghề thanh xuân,"(0.4, 'dạy nghề')",sưa chữa điện lạnh,"(0.25, 'sửa chữa')"
6355,học viện nông nghiệp việt nam,thú y,học viện nông nghiệp việt nam,"(1.0, 'học viện nông nghiệp việt nam')",thú y,"(1.0, 'thú y')"
6356,Đại Học Thủ Dầu Một,Quản Lí Công Nghiệp,đại học thủ dầu một,"(1.0, 'đại học thủ dầu một')",quản lí công nghiệp,"(0.75, 'quản lý công nghiệp')"
