,school_name,specialization,normalized_school,predicted_school,normalized_major,predicted_major
1343,Trường Cao Đẳng Nghề GTVT TW2,Nghề,cao đẳng nghề giao thông vận tải trung ương2,"(0.9354838709677419, 'cao đẳng nghề giao thông vận tải trung ương ii')",nghề,"(0.2857142857142857, 'nông học')"
1344,Trường CĐ Kinh Tế Kỹ thuật Sài Gòn,kế toán,cđ kinh tế kỹ thuật sài gòn,"(0.3870967741935484, 'cao đẳng kinh tế kỹ thuật hà nội')",kế toán,"(1.0, 'kế toán')"
1345,Hanoi University of Science and Technology,Lecturer in School of Mechanical Engineering,hanoi university of science and technology,"(1.0, 'đại học bách khoa hà nội')",lecturer in school of mechanical engineering,"(0.6, 'cơ kỹ thuật')"
1346,ĐẠI HỌC KIẾN TRUC,0,đại học kiến truc,"(0.55, 'đại học kiến trúc tp hcm')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1347,Đại học Giao Thông Vận Tải ,Quản trị kinh doanh,đại học giao thông vận tải,"(1.0, 'đại học giao thông vận tải')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
1348,Đại Học Trà Vinh,Quản Trị Kinh Doanh,đại học trà vinh,"(1.0, 'đại học trà vinh')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
1349,Đại học Luật Hà Nội,Luật dân sự và tố tụng dân sự,đại học luật hà nội,"(1.0, 'đại học luật hà nội')",luật dân sự và tố tụng dân sự,"(0.7894736842105263, 'luật tố tụng và tố tụng dân sự')"
1350, Đại Học Thương Mại,Economics,đại học thương mại,"(1.0, 'đại học thương mại')",economics,"(1.0, 'kinh tế')"
1351,Khoa Quốc Tế- Đại Học Quốc Gia Hà Nội,Tài Chính Kế Toán,khoa quốc tế- đại học quốc gia hà nội,"(0.7083333333333334, 'đại học quốc gia hà nội')",tài chính kế toán,"(0.8571428571428571, 'kế toán tài chính')"
1352,Đại học Kinh tế - Luật ĐHQG TPHCM,0,đại học kinh tế - luật đại học quốc giatphcm,"(0.6551724137931034, 'đại học kinh tế luật tp hcm')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1353,THPT Yên Định 2,Tốt nghiệp THPT,thpt yên định 2,"(1.0, 'trung học phổ thông')",tốt nghiệp Phổ thông,"(0.4666666666666667, 'phổ thông')"
1354,EUH ( Economy University HCMC),Banking & Finance,euh ( economy university hcmc),"(0.5, 'đại học kinh tế tp hcm')",banking finance,"(0.8333333333333334, 'tài chính ngân hàng')"
1355,Trường Đại Học Bách Khoa Đà Nẵng 2010 đến 2015 · ,Điện tử viễn thông,đại học bách khoa đà nẵng 2010 đến 2015 ·,"(0.6551724137931034, 'đại học bách khoa đại học đà nẵng')",điện tử viễn thông,"(0.6842105263157895, 'kỹ thuật điện tử viễn thông')"
1356,Trường Đại Học Bách Khoa Đà Nẵng ,Điện tử viễn thông,đại học bách khoa đà nẵng,"(0.95, 'đại học bách khoa đại học đà nẵng')",điện tử viễn thông,"(0.6842105263157895, 'kỹ thuật điện tử viễn thông')"
1357,Ho Chi Minh University Of Industry,0,hcm university of industry,"(1.0, 'đại học công nghiệp tp hcm')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1358,TRƯỜNG ĐẠI HỌC KINH TẾ TP. HỒ CHÍ MINH,Kế toán,đại học kinh tế tp. hcm,"(1.0, 'đại học kinh tế tp hcm')",kế toán,"(1.0, 'kế toán')"
1359,University of Economics and Law,0,university of economics and law,"(0.9629629629629629, 'đại học kinh tế luật tp hcm')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1360,ĐH Tài chính - Kế toán,0,đại học tài chính - kế toán,"(1.0, 'đại học tài chính kế toán')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1361, Đại Học Nguyễn Tất Thành,Học Quản lí tài nguyên và môi trường,đại học nguyễn tất thành,"(1.0, 'đại học nguyễn tất thành')",học quản lí tài nguyên và môi trường,"(0.7586206896551724, 'quản lý tài nguyên và môi trường')"
1362,Trường Đại Học Khoa Học Tự Nhiên,0,đại học khoa học tự nhiên,"(0.8095238095238095, 'đại học khoa học tự nhiên hà nội')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1363,Đại Học Bách Khoa Đà Nẵng,0,đại học bách khoa đà nẵng,"(0.95, 'đại học bách khoa đại học đà nẵng')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1364,Đại Học Tây Bắc,0,đại học tây bắc,"(1.0, 'đại học tây bắc')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1365,NIIT University,0,niit university,"(0.7692307692307693, 'đại học fpt')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1366,Cao Đẳng Cần Thơ,Cử Nhân Tin Học,cao đẳng cần thơ,"(1.0, 'cao đẳng cần thơ')",tin học,"(0.625, 'địa tin học')"
1367,Đại học Đại Nam,Tài chính - Ngân hàng,đại học đại nam,"(1.0, 'đại học đại nam')",tài chính ngân hàng,"(1.0, 'tài chính ngân hàng')"
1368,IUH - ĐH Công Nghiệp TP.HCM,0,iuh - đại học công nghiệp tp.hcm,"(1.0, 'đại học công nghiệp tp hcm')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1369,khoa học tự nhiên- ĐHQGHN,quản lý tài nguyên và môi trường,khoa học tự nhiên- đại học quốc gia hà nội,"(0.6896551724137931, 'đại học khoa học tự nhiên hà nội')",quản lý tài nguyên và môi trường,"(1.0, 'quản lý tài nguyên và môi trường')"
1370,HỌC VIỆN NÔNG NGHIỆP VIỆT NAM,0,học viện nông nghiệp việt nam,"(1.0, 'học viện nông nghiệp việt nam')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1371,Đại học Công Nghiệp,Nhà Máy,đại học công nghiệp,"(0.7777777777777778, 'đại học công nghiệp vinh')",nhà máy,"(0.3333333333333333, 'vận hành máy móc')"
1372,Cao Đẳng Kinh Tế Kỹ Thuật Thành Phố Hồ Chí Minh,0,cao đẳng kinh tế kỹ thuật thành phố hồ chí minh,"(0.30952380952380953, 'cao đẳng kinh tế kỹ thuật tp hcm')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1373,HUTECH - Đại học Công nghệ Tp.HCM,0,hutech - đại học công nghệ tp.hcm,"(1.0, 'đại học công nghệ tp hcm')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1374,Trường Đại học Tôn Đức Thắng,0,đại học tôn đức thắng,"(1.0, 'đại học tôn đức thắng')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1375,HUTECH,Tài Chính Ngân Hàng,hutech,"(1.0, 'đại học công nghệ tp hcm')",tài chính ngân hàng,"(1.0, 'tài chính ngân hàng')"
1376,TC BCVT và CNTT 1,Kĩ thuật đài trạm,tc bcvt và cntt 1,"(0.10714285714285714, 'đại học nguyễn tất thành')",kĩ thuật đài trạm,"(0.2777777777777778, 'mỹ thuật đô thị')"
1377,trung học phổ thông trần ngọc hoằng,kế toán,thpt trần ngọc hoằng,"(1.0, 'trung học phổ thông')",kế toán,"(1.0, 'kế toán')"
1378,đại học Hutech,ngoại ngữ,đại học hutech,"(1.0, 'đại học công nghệ tp hcm')",ngoại ngữ,"(0.38461538461538464, 'kinh tế đối ngoại')"
1379,Đại học Điện Lực,Tài chính,đại học điện lực,"(1.0, 'đại học điện lực')",tài chính,"(0.5833333333333334, 'tài chính lượng')"
1380,Đại học Cần Thơ,Kỹ sư xây dựng,đại học cần thơ,"(1.0, 'đại học cần thơ')",kỹ sư xây dựng,"(0.4375, 'kỹ thuật xây dựng')"
1381,Đại học Công Đoàn,cử nhân Kế toán,đại học công đòan,"(0.625, 'đại học công đoàn')",kế toán,"(1.0, 'kế toán')"
1382,đại học Công Nghiệp,quản trị kinh doanh,đại học công nghiệp,"(0.7777777777777778, 'đại học công nghiệp vinh')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
1383,Đại Học Tôn Đức Thắng ,Khoa Học Môi Trường,đại học tôn đức thắng,"(1.0, 'đại học tôn đức thắng')",khoa học môi trường,"(1.0, 'khoa học môi trường')"
1384,Cao đẳng Công nghệ thông tin TP Hồ Chí Minh,Tài chính ngân hàng,cao đẳng công nghệ thông tin tp hcm,"(1.0, 'cao đẳng công nghệ thông tin tp hcm')",tài chính ngân hàng,"(1.0, 'tài chính ngân hàng')"
1385,Đại Học Bình Dương,Luật kinh tế,đại học bình dương,"(1.0, 'đại học bình dương')",luật kinh tế,"(1.0, 'luật kinh tế')"
1386,Cao Đẳng FPT Tây Nguyên ,Marketing ,cao đẳng fpt tây nguyên,"(1.0, 'đại học fpt')",marketing,"(1.0, 'marketing')"
1387,THPT Thủ Đức,0,thpt thủ đức,"(1.0, 'trung học phổ thông')",0,"(0.0, 'lý luận lịch sử và phê bình mỹ thuật')"
1388,trường Dại Học Sài Gòn,Quản Trị Kinh Doanh,dại học sài gòn,"(0.8333333333333334, 'đại học sài gòn')",quản trị kinh doanh,"(1.0, 'quản trị kinh doanh')"
