school,specialization
cao dang cong nghiep tuy hoa,"['cong nghe thong tin', 'quan tri kinh doanh', 'co khi', 'ke toan - tin hoc', 'cong nghe ky thuat moi truong', 'trung cap ke toan', 'quan tri kinh doanh', 'co khi che tao', 'dien dien tu']"
cao dang cong nghiep viet duc,"['cong nghe thong tin', 'co khi ( cat got kim loai)', 'chuyen nganh']"
cao dang cong nghiep xay dung,"['ky thuat khai thac mo', 'xay dung dan dung va cong nghiep', 'cong nghe o to']"
cao dang cong thuong,"['co khi dong luc', 'ke toan', 'ke toan', 'tu dong hoa', 'tai chinh ngan hang', 'nhiet lanh', 'cong nghe thong tin', 'ke toan', 'quan tri kinh doanh', 'ke toan', 'quan tri kinh doanh tong hop', 'cong nghe thuc pham', 'ke toan tin hoc', 'ky thuat oto', 'quan tri kinh doanh', 'ke toan tai chinh', 'quan tri kinh doanh', 'ke toan', 'ke toan', 'cong nghe thuc pham', 'tai chinh ngan hang', 'ky su xay dung']"
cao dang cong thuong co so 2,['ke toan']
cao dang cong thuong hcm,"['cong nghe thong tin', 'tai chinh ngan hang', 'tai chinh - ngan hang', 'cong nghe thuc pham', 'dien- dien tu', 'cntt', 'cong nghe may- tktt', 'quan tri kinh doanh', 'quan tri kinh doanh', 'cong nghe ki thuat co dien tu', 'cong nghiep may- thiet ke thoi trang', 'mechanical engineering', 'ke toan', 'dien', 'ke toan', 'ke toan', 'cong nghe thuc pham', 'quan tri nha hang', 'trung cap ke toan', 'cong nghe thuc pham', 'dien cong nghiep.', 'chuyen nganh', 'food technology', 'quan tri kinh doanh', 'chuyen nganh', 'chuyen nganh', 'tai chinh ngan hang', 'ke toan']"
cao dang dai viet,['quan tri kinh doanh']
cao dang dai viet sai gon,"['ngon ngu nhat', 'duoc', 'quan tri nha hang khach san', 'su pham mam non', 'y duoc', 'cntt', 'duoc hoc', 'ke toan', 'co khi', 'duoc']"
cao dang dien luc,"['tai chinh', 'dien', 'dien', 'khoa he thong dien']"
cao dang dien luc hcm,"['he thong dien', 'he thong dien', 'quan tri kinh doanh', 'dien cong nghiep']"
cao dang dien luc mien bac,['he thong dien']
cao dang dien luc mien trung,"['dien tu vien thong', 'he thong dien', 'cong nghe ki thuat dien dien tu', 'ki thuat dien-dien tu', 'quan ly duong day va tram bien ap']"
cao dang dien tu dien lanh ha noi,"['cong nghe thong tin va truyen thong', 'dien tu vien thong', 'dien cong nghiep', 'cong nghe ky thuat dieu khien va tu dong hoa']"
cao dang dong du,['ke toan dnsx']
cao dang dong khoi,['thiet ke thoi trang']
cao dang dong nai,['ke toan']
cao dang du lich,"['quan tri nha hang', 'quan tri nha hang', 'ke toan', 'nau an']"
cao dang du lich ha noi,"['quan tri kinh doanh khach san, nha hang', 'huong dan vien', 'quan tri lu hanh huong dan', 'quan tri lu hanh', 'quan tri kinh doanh tai chinh ke toan du lich', 'khach san - nha hang', 'ke toan', 'dau bep', 'nha hang ,khach san', 'quan tri che bien mon an', 'quan tri lu hanh huong dan', 'ke toan thuong mai va du lich', 'quan tri kinh doanh nha hang ,khach san', 'che bien mon an', 'lu hanh huong dan', 'che bien mon an', 'huong dan vien du lich', 'qtkd', 'le tan', 'quan tri nha hang', 'quan tri kinh doanh', 'che bien mon an', 'quan tri nha hang khach san', 'qtkd khach san', 'chuyen nganh']"
cao dang du lich hue,['quan tri khach san']
cao dang du lich nha trang,['quan tri nha hang']
cao dang du lich sai gon,"['quan tri lu hanh', 'quan ly khach san', 'huong dan vien du lich', 'huong dan du lich', 'ki thuat che bien mon an', 'quan tri khach san nha hang']"
cao dang du lich thuong mai nghe an,"['chuyen nganh', 'chuyen nganh']"
cao dang duoc asean,['duoc hoc']
cao dang duoc hong duc,"['duoc', 'duoc si']"
cao dang duoc phu tho,"['duoc', 'chuyen nganh duoc', 'duoc si', 'duoc sy', 'chuyen nganh']"
cao dang duoc trung uong hai duong,['duoc si trung hoc']
cao dang duoc tw hai duong,['duoc hoc']
cao dang duong sat phia nam,['lai xe']
cao dang duyen hai,['ke toan']
cao dang fpt,['thiet ke website']
cao dang fpt jetking,['quan tri an ninh mang']
cao dang fpt polytechnic,['lap trinh mobile']
cao dang fpt tay nguyen,['marketing']
cao dang giao thong thai nguyen,['kinh te-tai chinh']
cao dang giao thong van tai,"['xay dung', 'cong nghe oto khoa co khi dong luc', 'ky thuat xay dung cau duong', 'xay dung cau dg', 'cong nghe ki thuat dien - dien tu', 'xay dung cau duong bo', 'cntt', 'quan ly - ke toan', 'chuyen nganh', 'tai chinh ke toan']"
cao dang giao thong van tai 2,['sua may tau thuy']
cao dang giao thong van tai 3,"['cong nghe ki thuat o to', 'cong nghe ki thuat oto', 'xay dung', 'cong nghe vat lieu', 'ke toan', 'quan tri kinh doanh', 'xay dung', 'co khi sua chua oto', 'kinh te xay dung', 'co khi', 'quan tri kinh doanh', 'quan tri kinh doanh', 'cong nghe ky thuat giao thong', 'chuyen nganh', 'xay dung cau duong', 'chuyen nganh', 'chuyen nganh', 'chuyen nganh']"
cao dang giao thong van tai duong thuy 2,"['dieu khien phuong tien thuy noi dia', 'ke toan']"
cao dang giao thong van tai hcm,"['khai thac van tai', 'ke toan doanh nghiep', 'quan tri kinh doanh', 'xay dung cau duong', 'ke toan', 'ky thuat xay dung cong trinh giao thong', 'xay dung cau duong']"
cao dang giao thong van tai mien trung,['trac dia cong trinh']
cao dang giao thong van tai trung uong 2,['cong nghe thong tin']
cao dang giao thong van tai3,"['quan tri kinh doanh', 'kinh te xay dung']"
cao dang giao thong van tai3 + dai hoc cong nghe sg,['xd cau duong+ ky thuat xd cong trinh']
cao dang giay co dien,['han']
cao dang hai duong,"['su pham toan _ hoa', 'trung cao su pham tieu hoc', 'chan nuoi thu y']"
cao dang hang hai,['lai tau']
cao dang hang hai hai phong,['ke toan']
cao dang hong duc,['duoc si']
cao dang ispace,['ky thuat vien phan cung may tinh']
cao dang ki thuat cao thang,"['hoc cong nghe ky thuat dieu khien va tu dong hoa', 'co khi go han', 'dien tu - truyen thong', 'dien tu -- truyen thong', 'co khi', 'co khi che tao']"
cao dang ki thuat hcm,['ke toan']
cao dang kinh kinh te cong nghe hcm,['tai chinh - ngan hang']
cao dang kinh te,"['quan tri kinh doanh', 'tieng anh thuong mai', 'tieng anh thuong mai', 'tieng anh']"
cao dang kinh te bao loc,['sua chua o to']
cao dang kinh te cong nghe,"['quan tri thuong mai', 'cntt']"
