,school,school_norm,school_standard,specialization,specialization_norm,specialization_standard
1853,THPT Trần Quốc Tuấn,trung hoc pho thong tran quoc tuan,trung hoc pho thong tran quoc tuan,0,0,0
1854,THPT Phạm Ngũ Lão,trung hoc pho thong pham ngu lao,trung hoc pho thong pham ngu lao,0,0,0
1855,Cd gtvt3 + dh công nghệ SG,cao dang giao thong van tai3 + dai hoc cong nghe sg,cao dang giao thong hue,xd cầu đường+ kỹ thuật xd công trình,xd cau duong+ ky thuat xd cong trinh,xd cau duong+ ky thuat xd cong trinh
1856,Hanoi University of Technology,hanoi university of technology,dai hoc cong nghe hcm,0,0,0
1857,University of Ulsan,university of ulsan,university of ulsan,Computer-science,computer science,khoa hoc may tinh
1858,"đại học bạc liêu, đại học bình dương",dai hoc bac lieu dai hoc binh duong,dai hoc binh duong,"quản trị kinh doanh, công nghệ thông tin, ngôn ngử anh",quan tri kinh doanh cong nghe thong tin ngon ngu anh,cong nghe thong tin
1859,Đại Học Đà Lạt,dai hoc da lat,dai hoc da lat,Tiếng Anh Thương Mại,tieng anh thuong mai,tieng anh thuong mai
1860,IUH - Trường ĐH Công Nghiệp Tp.HCM,iuh truong dai hoc cong nghiep hcm,dai hoc cong nghiep hcm,0,0,0
1861,Nguyễn Tất Thành,nguyen tat thanh,dai hoc nguyen tat thanh,English,english,ngon ngu anh
1862,HUTECH - Đại học Công nghệ Tp.HCM ,hutech dai hoc cong nghe hcm,dai hoc cong nghe hcm,0,0,0
1863,UMC,umc,CannotFound,Análise e Desenvolvimento de Sistemas,analise e desenvolvimento de sistemas,analise e desenvolvimento de sistemas
1864,CAO ĐẲNG CÔNG NGHỆ THỦ ĐỨC,cao dang cong nghe thu duc,cao dang cong nghe thu duc,Công nghệ phần mềm,cong nghe phan mem,cong nghe phan mem
1865,ELSIS - Sydney,elsis sydney,CannotFound,0,0,0
1866,Can Tho University,can tho university,dai hoc can tho,0,0,0
1867,Goa Institute Of Management,goa institute of management,CannotFound,Computer and Application,computer and application,computer and application
1868,đại học Mở Hà Nội,dai hoc mo ha noi,dai hoc mo ha noi,thiết kế nội thất,thiet ke noi that,thiet ke noi that
1869,Đại Học Hoa Sen,dai hoc hoa sen,dai hoc hoa sen,0,0,0
1870,Đại học Công nghiệp TP Hồ Chí Minh,dai hoc cong nghiep hcm,dai hoc cong nghiep hcm,0,0,0
1871,Đại học kiến trúc Hà Nội ,dai hoc kien truc ha noi,dai hoc kien truc ha noi,Kiến Trúc sư,kien truc su,kien truc
1872,Học viện Hàng không Việt Nam - Vietnam Aviation Academy,hoc vien hang khong viet nam vietnam aviation academy,hoc vien hang khong viet nam,Vận Tải Hàng Không,van tai hang khong,van tai hang khong
1873,Foreign Trade University ,foreign trade university,dai hoc ngoai thuong,Kinh tế đối ngoại,kinh te doi ngoai,kinh te
1874,Eastern International University,eastern international university,dai hoc quoc te mien dong,0,0,0
1875,đại học dân lập đông đô,dai hoc dan lap dong do,dai hoc dong do,điện tử viễn thông,dien tu vien thong,ky thuat dien tu vien thong
1876,樹德科技大學,shu de ke ji da xue,CannotFound,0,0,0
1877,Đại học Sư phạm Kỹ thuật Hưng Yên,dai hoc su pham ky thuat hung yen,dai hoc su pham ky thuat hung yen,Công nghệ môi trường,cong nghe moi truong,cong nghe ky thuat moi truong
1878,Trường Cao Đẳng Bán Công Công Nghệ Và Quản Trị Doanh Nghiệp,cao dang ban cong cong nghe quan tri doanh nghiep,cao dang ban cong cong nghe quan tri doanh nghiep,0,0,0
1879,THPT Hồng Quang,trung hoc pho thong hong quang,trung hoc pho thong hong quang,0,0,0
1880,Đại học Hồng Bàng,dai hoc hong bang,dai hoc quoc te hong bang,0,0,0
1881,Trường THPT Dân lập Hùng Vương - Bắc Kạn,trung hoc pho thong dan lap hung vuong bac kan,trung hoc pho thong dan lap hung vuong bac kan,0,0,0
1882,Đại học Ngoại Ngữ- Đại học Quốc Gia Hà Nội,dai hoc ngoai ngu dai hoc quoc gia ha noi,dai hoc ngoai ngu dai hoc quoc gia ha noi,0,0,0
1883,Trung Cấp Kinh Tế Đồng Nai,trung cap kinh te dong nai,CannotFound,Kế Toán,ke toan,ke toan
1884,Đại học Tôn Đức Thắng,dai hoc ton duc thang,dai hoc ton duc thang,Quản trị kinh doanh quốc tế,quan tri kinh doanh quoc te,quan tri kinh doanh
1885,ĐH Tài chính - marketing,dai hoc tai chinh marketing,dai hoc tai chinh marketing,Quản trị kinh doanh,quan tri kinh doanh,quan tri kinh doanh
