raw,new,score
Đại học Sư phạm TP.HCM,dai hoc su pham  hcm,48
CAO ĐẲNG CÔNG NGHỆ TP HCM,cao dang cong nghe  hcm,21
DH Nông Lâm, dai hoc  nong lam,34
trường đại học kiến trúc đà nẵng,dai hoc kien truc da nang,60
Đại học Khoa học Tự nhiên,dai hoc khoa hoc tu nhien,68
CNTT,cntt,0
"University of Technology, Swinburne",university of technology  swinburne,89
Đại Học Kinh Tế TP. HCM,dai hoc kinh te   hcm,45
cao đẳng nghề quy nhơn bình định,cao dang nghe quy nhon binh dinh,78
Academy of Journalism and Communication,academy of journalism and communication,92
Đại học Công nghiệp Thực Phẩm Tp.HCM,dai hoc cong nghiep thuc pham  hcm,57
THCS QUẢNG CO THÀNH,thcs quang co thanh,16
đại học thể dục thể thao tp hồ chí minh,dai hoc the duc the thao  hcm,68
Đại học dầu khí Trung Quốc (Bắc Kinh),dai hoc dau khi trung quoc ,59
THPT Phan Đăng Lưu,thpt phan dang luu,50
Cao đẳng Công nghiệp Huế,cao dang cong nghiep hue,67
"University of Social Sciences and Humanities, HCMC",university of social sciences and humanities  hcm,83
Vinh Kim High School,vinh kim high school,80
Trường cao đẳng Viễn Đông,cao dang vien dong,56
Đại học Ngoại Thương,dai hoc ngoai thuong,60
Seoul National Uni,seoul national uni,83
Trường Cao Đẳng điện lực Miền Trung,cao dang dien luc mien trung,60
Đại học kinh doanh và công nghệ Hà Nội,dai hoc kinh doanh cong nghe ha noi,71
Đại học BKHN,dai hoc  bach khoa hn,30
THPT Nghề Phú Lâm,thpt nghe phu lam,44
Đại học Hoa Sen,dai hoc hoa sen,67
Đại học Lao động xã hội,dai hoc lao dong xa hoi,65
cao đẳng tài chính hải quan,cao dang tai chinh hai quan,81
Trường Đại học Tài chính - Marketing,dai hoc tai chinh   marketing,65
Đại Học Thủ Dầu Một,dai hoc thu dau mot,47
Đại Học GTVT TPHCM,dai hoc giao thong van tai hcm,21
Đại học Luật TP.HCM,dai hoc luat  hcm,44
Đại học KHXH&NV,dai hoc  khoa hoc xa hoi  nv,23
Đại học Bách Khoa,dai hoc bach khoa,65
Học viện Ngân hàng,hoc vien ngan hang,67
Đại học quốc tế Hồng Bàng,dai hoc quoc te hong bang,64
Đại học Kiến trúc Thành phố Hồ Chí Minh,dai hoc kien truc   hcm,48
Đại học Tôn Đức Thắng,dai hoc ton duc thang,57
CĐSP Hà Nam, cao dang su pham ha nam,23
Hội mỹ thuật Tp.HcM,hoi my thuat  hcm,56
THPT Quang Trung,thpt quang trung,62
Đại học Kinh tế Quốc dân,dai hoc kinh te quoc dan,67
Đại học Bách Khoa Thành phố Hồ Chí Minh,dai hoc bach khoa   hcm,48
Trường Công nghệ Châu Á Thái Bình Dương (AIT),cong nghe chau a thai binh duong ,51
Đại học Kiến trúc Hà Nội,dai hoc kien truc ha noi,58
tài chính marketing,tai chinh marketing,89
CĐ kinh tế kĩ thuật thương mại, cao dang  kinh te ki thuat thuong mai,65
Chuyên ngành : Quản trị kinh doanh tổng quát,chuyen nganh : quan tri kinh doanh tong quat,82
University of Stirling,university of stirling,91
HCMC University of Architecture,hcm university of architecture,82
Đại học Bách khoa Đà Nẵng,dai hoc bach khoa da nang,64
Học viện tài chính,hoc vien tai chinh,72
Học Viện Công Nghệ Bưu Chính Viễn Thông,hoc vien cong nghe buu chinh vien thong,59
Học viện tài chính,hoc vien tai chinh,72
Central Queensland University (CQU),central queensland university ,83
Đại học Khoa học Huế,dai hoc khoa hoc hue,65
đại học khoa học tự nhiên Hà Nội,dai hoc khoa hoc tu nhien ha noi,69
Trường đại học sư phạm tphcm,dai hoc su pham hcm,60
Đại Học Thăng Long,dai hoc thang long,61
trường cao đẳng nghề TPHCM,cao dang nghe hcm,51
Cao đẳng Hải Dương,cao dang hai duong,56
Đại học Duy Tân,dai hoc duy tan,60
