school_name,specialization
"Trường Đại Học Kỹ Thuật Công Nghiệp","Cơ khí chế tạo máy"
"Đại học Kinh Tế Quốc Dân","Tài chính-Ngân Hàng"
"Cao Đẳng Kinh Tế Tp. Hồ Chí Minh","Tài Chính Kế Toán"
"Cao Đẳng Kinh Tế Tp. Hồ Chí Minh","Tài Chính Kế Toán"
"cao đẳng kinh tế kỹ thuật Vinatex","quản trị kinh doanh"
"ĐẠI HỌC KINH TẾ TPHCM","kế hoạch và đầu tư"
NIIT,CNTT
"Nông Lâm Tp.HCM","Quản lý môi trường"
"cao đẳng y tế bạc liêu","dược học"
"Đại học Giao Thông Vận Tải Hà Nội","Khai thác vận tải"
"Trường cao đẳng Y Tế Hải Phòng","Điều dưỡng đa khoa"
"đại học Tôn Đức Thắnh","Kế toán"
"Đại học Sân khấu Điện ảnh Hà Nội","Đạo diễn truyền hình"
"Học Viện Kỹ Thuật Quân sự","Công nghệ thông tin"
"University of Transport Technology","Infomation Technology"
"Đại học Lao Động Xã Hội Cs2","Quản trị kinh doanh"
"Học viện thanh thiếu niên việt nam","Công tác xã hội"
"đại học điện lưc","điện công nghiệp"
"Cao đẳng Du lịch Hà Nội","Quản trị lữ hành hướng dẫn"
"Cao đẳng thực hành FPT Polytechnic","Lập trình"
"Đại học mở - hà nội","công nghệ sinh học"
"Trường THCS Hậu Giang","Học tập"
"Viện Đại học Mở Hà Nội","Ngôn ngữ Anh"
"Đại học Duy Tân","kế toán"
"Đại học Duy Tân","kế toán"
"Trương Định","hoc het cap 3"
"Đại học Ngoại Thương","Quản trị kinh doanh - Kế toán"
"Huflit University","English Linguistics"
"Cao đẳng sự phạm trung ương TP HCM","giáo viên mầm non"
"Trường Đại Học Kinh tế Đà Nẵng","Kế toán"
"Cao Đẵng Văn Hoá Nghệ Thuật Và Du Lịch Sài Gòn","Quản Trị Dịch Vụ Du Lịch Và Lữ Hành"
"ĐH Tài chính Marketing","Kế toán"
"Đại học Công nghệ Sài Gòn","Quản trị kinh doanh"
"Đại học ngoại ngữ, đại học quốc gia Hà Nội","english methodolody"
"Đại học y khoa Vinh","y sỹ đa khoa"
"Đại học Văn Hiến","Nhật Bản học"
"Đại học Tôn Đức Thắng","Quản Trị Kinh Doanh"
"THPT Phú Tân","Xã Hội"
"trường cao đẳng giao thông vận tải tp. hcm","khai thác vận tải"
"Trường Trung Cấp Đông Dương","Sư Phạm Mầm Non"
"Đại học Ngoại Thương Hà Nội","Kinh tế đối ngoại"
hutech,"thiết kế thời trang"
"Đại Học Tài Chính Kinh Tế Trung Ương Bắc Kinh","Kinh tế thương mại quốc tế"
"Đại học Luật Hà Nội","Luật học "
"ĐH Tôn Đức Thắng","Kỹ Thuật Hoá Học"
"Đại học Bình Dương","Tài chính Ngân hàng"
"Đại học Kinh Tế Tp HCM","Luật Kinh Doanh"
"Đại học Duy Tân","Tài chính - Ngân hàng"
"ĐH KHOA HỌC TỰ NHIÊN - ĐH QUỐC GIA HÀ NỘI","KINH TẾ SINH THÁI"
"truong an thanh","khong co"
"TRƯỜNG ĐẠI HỌC CẦN THƠ","Tài chính ngân hàng"
"Trần Bội Cơ","học sinh"
"Đại học Mỹ thuật TP.HCM","Thiết kế đồ họa"
"Viện Đại học Mở Hà Nội","Luật Quốc tế"
"Truong DH Kinh Te TP HCM","Quan tri kinh doanh tong hop"
"Truong DH Cong Nghiep TP HCM","Cong Nghe Hoa Hoc"
