,school,major,example_school,data_school,example_major,data_major
7807,Đại học sư phạm kỹ thuật vinh,Điện tử viễn thông,dai hoc cong nghe hcm,dai hoc su pham ky thuat vinh,cong nghe thong tin,ky thuat dien tu vien thong
7808,Cao Đẳng Công Thương TP. Hồ Chí Minh,Công Nghệ Thực Phẩm,dai hoc kinh te quoc dan,cao dang cong thuong hcm,kinh te tai nguyen thien nhien,cong nghe thuc pham
7809,Cao Đẳng Công Nghệ Thông Tin iSPACE,Quản Trị Mạng,dai hoc ngoai ngu tin hoc hcm,cao dang nghe cong nghe thong tin ispace,quan he quoc te,quan tri mang
7810,Đại học An Giang,Tài chính - Ngân hàng,cao dang nghe song da,dai hoc an giang,cong nghe thong tin,tai chinh ngan hang
7811,Trường Đại Học Khoa Hoc Tự Nhiên TP HCM,Kiểm Thử Phần Mềm LCTP1,dao tao,dai hoc khoa hoc tu nhien dai hoc quoc gia hcm,quan tri kinh doanh,kiem thu phan mem lc1
7812,thcs nguyen du,toan hoc,dai hoc can tho,trung hoc co so nguyen du,su pham tieng phap,toan hoc
7813,Đại học Công nghiệp Hà Nội,Kế toán - kiểm toán,trung cap,dai hoc cong nghiep ha noi,co khi o to,kiem toan
7814,Đại học Luật TP HCM,Quản Trị kinh doanh,trung hoc pho thong,dai hoc luat hcm,pho thong,quan tri kinh doanh
7815,Trung học cơ sở phong châu,Ngoại ngữ,dai hoc quy nhon,trung hoc co so phong chau,van hoc,ngoai ngu
7816,Đại Học Cần Thơ,Kế toán,trung cap,dai hoc can tho,trung cap,ke toan
7817,trung học cơ sở An Lạc,văn hoá,cao dang nghe song da,trung hoc co so an lac,cong nghe ky thuat o to,van hoa
7818,quang trung,dien,dai hoc fpt,dai hoc quang trung,marketing,ky thuat dien
7819,Cao đẳng Kinh Tế Đối Ngoại,Kinh doanh Xuất Nhập Khẩu,dai hoc xay dung mien tay,cao dang kinh te doi ngoai,xay dung dan dung cong nghiep,kinh doanh xuat nhap khau
7820,Đại học Kinh tế - Luật (ĐHQG TP.HCM),Tài chính - Ngân hang,cao dang cong nghiep thuc pham,dai hoc kinh te luat dai hoc quoc gia hcm,ly luan lich su phe binh my thuat,tai chinh ngan hang
7821,Đại học kinh doanh và công nghệ hà nội,Tài chính ngân hàng,cao dang nghe long an,dai hoc kinh doanh cong nghe ha noi,thiet ke am thanh anh sang,tai chinh ngan hang
7822,khong qua truong lopchua,lao dong pho thong,cao dang nghe thua thien hue,CannotFound,thiet ke am thanh anh sang,lao dong pho thong
7823,Đại học điện lực,tự động hoá,dai hoc lam nghiep viet nam,dai hoc dien luc,quan ly tai nguyen thien nhien,tu dong hoa
7824,Đại Học Bách Khoa Hà Nội,Kĩ Thuật Hàng Không,cao dang cong thuong mien trung,dai hoc bach khoa ha noi,cong nghe thong tin,ky thuat hang khong
7825,Đại học Sư Phạm Thành Phố Hồ Chí Minh,Sư Phạm Tin học,dai hoc khoa hoc xa hoi nhan van ha noi,dai hoc su pham hcm,xa hoi hoc,su pham tin hoc
7826,học hết cấp 2,không có,dai hoc su pham dai hoc da nang,CannotFound,khoa hoc moi truong,khong co
7827,Đại học Ngoại Ngữ và Tin Học TP. Hồ Chí Minh,Kinh doanh quốc tế,dai hoc duy tan,dai hoc ngoai ngu tin hoc hcm,ke toan doanh nghiep,kinh doanh quoc te
7828,FMIT,ISTQB,dai hoc dien luc,CannotFound,he thong dien,istqb
